epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,2398.52,0.71213,0.81423,0.42484,0.90457,0,0.95215,0.9602,0.98518,0.81665,0.95218,0.9602,0.98554,0.77275,0.67006,0.78413,0.39688,0.89442,0,0.00081403,0.00081403,0.00081403
29,2482.57,0.70155,0.80713,0.43029,0.9034,0,0.96325,0.95368,0.98521,0.82131,0.96121,0.95284,0.98476,0.77242,0.65492,0.7833,0.37977,0.89414,0,0.000803031,0.000803031,0.000803031
30,2565.14,0.71171,0.81949,0.43378,0.90619,0,0.95398,0.9671,0.9884,0.82904,0.95358,0.96715,0.98847,0.78665,0.6436,0.77894,0.36388,0.88868,0,0.000792032,0.000792032,0.000792032
31,2650.18,0.70548,0.80383,0.43189,0.90266,0,0.95499,0.96835,0.97593,0.82006,0.95499,0.96835,0.97615,0.77001,0.64227,0.7727,0.38472,0.88703,0,0.000781033,0.000781033,0.000781033
32,2740.15,0.7113,0.81075,0.41204,0.9086,0,0.9498,0.9613,0.97516,0.81595,0.94913,0.96064,0.97512,0.77837,0.65159,0.75974,0.39112,0.88636,0,0.000770034,0.000770034,0.000770034
33,2825.35,0.70839,0.80055,0.41409,0.90194,0,0.955,0.95709,0.97883,0.81812,0.95558,0.95781,0.97921,0.76442,0.65138,0.77587,0.37561,0.89191,0,0.000759035,0.000759035,0.000759035
34,2912.39,0.70153,0.81013,0.4153,0.90046,0,0.95236,0.96519,0.98032,0.81498,0.95302,0.96586,0.98178,0.7604,0.66448,0.77639,0.37511,0.89448,0,0.000748036,0.000748036,0.000748036
35,2996.17,0.70819,0.81235,0.40221,0.90362,0,0.95031,0.95907,0.9821,0.81303,0.95098,0.95974,0.98296,0.78985,0.6688,0.7785,0.39862,0.89483,0,0.000737037,0.000737037,0.000737037
36,3078.77,0.70187,0.81349,0.41088,0.90349,0,0.96467,0.96581,0.98659,0.82768,0.96451,0.96591,0.98672,0.7776,0.64073,0.77424,0.3543,0.88692,0,0.000726038,0.000726038,0.000726038
37,3163.03,0.69209,0.78955,0.40253,0.90297,0,0.95323,0.9624,0.98307,0.82238,0.95323,0.9624,0.98301,0.77021,0.64518,0.77248,0.37397,0.89036,0,0.00071504,0.00071504,0.00071504
38,3247.82,0.68738,0.78885,0.39552,0.89638,0,0.96195,0.96132,0.97857,0.82657,0.96196,0.96132,0.97818,0.7758,0.62957,0.7654,0.37446,0.88324,0,0.000704041,0.000704041,0.000704041
39,3333.29,0.69285,0.79771,0.3872,0.90062,0,0.95875,0.96141,0.98096,0.82109,0.95877,0.96141,0.9807,0.77275,0.64188,0.76901,0.36786,0.88706,0,0.000693042,0.000693042,0.000693042
40,3420.68,0.69058,0.79961,0.39361,0.89875,0,0.95352,0.96162,0.97859,0.82545,0.95299,0.96085,0.9791,0.76718,0.63128,0.7663,0.37378,0.88464,0,0.000682043,0.000682043,0.000682043
41,3506.67,0.6871,0.79065,0.38769,0.89989,0,0.95092,0.96404,0.98446,0.82845,0.95092,0.96404,0.98505,0.7801,0.63418,0.76833,0.36155,0.88186,0,0.000671044,0.000671044,0.000671044
42,3592.18,0.68616,0.7842,0.38495,0.89676,0,0.95696,0.96983,0.98281,0.83068,0.9563,0.96917,0.98279,0.77664,0.62914,0.76125,0.35292,0.88304,0,0.000660045,0.000660045,0.000660045
43,3678.19,0.69193,0.79717,0.4001,0.89935,0,0.967,0.9596,0.98601,0.83057,0.96568,0.95826,0.98552,0.77988,0.63197,0.75314,0.3551,0.88514,0,0.000649046,0.000649046,0.000649046
44,3765.55,0.68332,0.78103,0.38169,0.89403,0,0.95187,0.96753,0.98082,0.82368,0.95331,0.96479,0.97988,0.77832,0.63759,0.77238,0.36847,0.88619,0,0.000638047,0.000638047,0.000638047
45,3851.23,0.68601,0.79623,0.38223,0.89874,0,0.95612,0.95609,0.97813,0.82298,0.95615,0.95609,0.9785,0.76704,0.63788,0.75613,0.36607,0.88566,0,0.000627048,0.000627048,0.000627048
46,3935.1,0.68185,0.78334,0.38149,0.89478,0,0.95576,0.96294,0.97926,0.82568,0.9551,0.96227,0.97867,0.78849,0.63481,0.75347,0.36162,0.88526,0,0.000616049,0.000616049,0.000616049
47,4017.39,0.67671,0.77475,0.37553,0.89502,0,0.95332,0.96128,0.9812,0.8255,0.95296,0.96057,0.98084,0.77564,0.63494,0.75612,0.37116,0.88586,0,0.000605051,0.000605051,0.000605051
48,4100.76,0.68162,0.77984,0.36852,0.8954,0,0.95625,0.95112,0.98053,0.82896,0.95559,0.95045,0.97858,0.77548,0.62833,0.7583,0.36642,0.8846,0,0.000594052,0.000594052,0.000594052
49,28083.3,0.67201,0.7612,0.35871,0.89568,0,0.95731,0.96198,0.97321,0.82232,0.9576,0.95886,0.97184,0.76532,0.62863,0.75004,0.36597,0.88581,0,0.000583053,0.000583053,0.000583053
50,28168.3,0.6777,0.77222,0.36859,0.89578,0,0.95268,0.95678,0.97126,0.82039,0.95273,0.95677,0.97083,0.76223,0.63267,0.76097,0.37487,0.88649,0,0.000572054,0.000572054,0.000572054
